COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
917;1;PASEO;DEL;DOCTOR VALLEJO NAGERA;DOCTOR VALLEJO NÁGERA;31/05/1990;04/05/2017;V
917;2;PASEO;DE;JUAN ANTONIO VALLEJO-NAJERA BOTAS;JUAN ANTONIO VALLEJO-NÁJERA BOTAS;04/05/2017;;V
918;1;CALLE;DEL;ARANDANO;ARÁNDANO;31/05/1990;;V
919;1;CALLE;DE LOS;BREZOS;BREZOS;31/05/1990;;V
920;1;CALLE;DE LA;FUENTE DEL PAVO;FUENTE DEL PAVO;31/05/1990;;V
921;1;CALLE;DE LOS;FERIANTES;FERIANTES;31/05/1990;;V
922;1;PLAZA;DE;EUGENIO MARIA DE HOSTOS;EUGENIO MARÍA DE HOSTOS;31/05/1990;;V
923;1;CALLE;DE LA;PARODIA;PARODIA;27/06/1990;;V
924;1;CALLE;DE;SERAFIN DE ASIS;SERAFÍN DE ASÍS;27/06/1990;;V
925;1;CALLE;DE LA;CARLINA;CARLINA;27/06/1990;;V
926;1;CALLE;DE LA;RUEZA;RUEZA;27/06/1990;;V
927;1;CALLE;DE LA;ALVERJA;ALVERJA;27/06/1990;;V
928;1;PLAZA;DE LA;ACHICORIA;ACHICORIA;27/06/1990;;V
929;1;CALLE;DE LA;NEGUILLA;NEGUILLA;27/06/1990;;V
930;1;CALLE;DE LA;GENISTA;GENISTA;27/06/1990;;V
931;1;CALLE;DE;ACEDERA;ACEDERA;26/06/1990;27/06/1990;H
932;1;TRAVESÍA;DE LA;VIRGEN DE LA ROCA;VIRGEN DE LA ROCA;27/07/1990;;V
933;1;PASAJE;DE LA;VIRGEN DE LA ALEGRIA;VIRGEN DE LA ALEGRÍA;27/07/1990;;V
934;1;GLORIETA;DE;PIEDRAFITA DEL CEBRERO;PIEDRAFITA DEL CEBRERO;27/07/1990;;V
935;1;CALLE;DE;BECERREA;BECERREA;27/07/1990;;V
936;1;CALLE;DEL;VALLE DE LA FUENFRIA;VALLE DE LA FUENFRÍA;27/07/1990;;V
937;1;AVENIDA;DE;JOAQUIN GARRIGUES WALKER;JOAQUÍN GARRIGUES WALKER;27/07/1990;;V
938;1;PLAZA;DE;JOSE MOÑINO CONDE DE FLORIDA BLANCA;JOSÉ MOÑINO CONDE DE FLORIDA BLANCA;27/07/1990;;V
939;1;GLORIETA;DE LAS;REALES ACADEMIAS;REALES ACADEMIAS;27/07/1990;;V
940;1;GLORIETA;DE;JOSE FRANCISCO DE ISLA;JOSÉ FRANCISCO DE ISLA;27/07/1990;;V
941;1;PLAZA;DE;JUAN PABLO FORNER;JUAN PABLO FORNER;27/07/1990;;V
942;1;GLORIETA;DE;MARIANO SALVADOR MAELLA;MARIANO SALVADOR MAELLA;27/07/1990;;V
943;1;GLORIETA;DE;FRANCISCO BAYEU Y SUBIAS;FRANCISCO BAYEU Y SUBÍAS;27/07/1990;;V
944;1;CALLE;DEL;DOCTOR RAMON CASTROVIEJO;DOCTOR RAMÓN CASTROVIEJO;27/07/1990;;V
945;1;PASEO;DE LA;VAGUADA;VAGUADA;27/07/1990;;V
947;1;CALLE;DE;RAMON ARECES;RAMÓN ARECES;27/09/1990;;V
948;1;CALLE;DE;LITUANIA;LITUANIA;27/09/1990;;V
949;1;CALLE;DE;MANUEL MACHADO;MANUEL MACHADO;27/09/1990;;V
950;1;CALLE;DEL;ALCALDE LUIS MARICHALAR;ALCALDE LUIS MARICHALAR;27/09/1990;;V
951;1;CALLE;DE;FELIX RODRIGUEZ DE LA FUENTE;FÉLIX RODRÍGUEZ DE LA FUENTE;27/09/1990;;V
952;1;CALLE;DE LA;PRIMAVERA DE PRAGA;PRIMAVERA DE PRAGA;27/09/1990;;V
953;1;CALLE;DE;ALFREDO BRAÑAS;ALFREDO BRAÑAS;27/09/1990;;V
954;1;CALLE;DE;CARMEN AMAYA;CARMEN AMAYA;27/09/1990;;V
955;1;CALLE;DEL;GENERAL JUAN VAN-HALEN;GENERAL JUAN VAN-HALEN;27/09/1990;;V
956;1;CALLE;DE;EUGENIO D'ORS;EUGENIO D'ORS;27/09/1990;;V
957;1;ACCESO;AL;PARQUE DE LA ELIPA;PARQUE DE LA ELIPA;27/09/1990;;V
958;1;CALLE;DE;MARIO CABRE;MARIO CABRE;27/09/1990;;V
959;1;CALLE;DE LA;CIUDAD DE AGUILAS;CIUDAD DE ÁGUILAS;27/09/1990;;V
960;1;CALLE;DE;FLORENCIO CANO CRISTOBAL;FLORENCIO CANO CRISTÓBAL;27/09/1990;;V
961;1;CALLE;DE;EL PAULAR;EL PAULAR;27/09/1990;;V
962;1;CALLE;DE;ALONSO DE CONTRERAS;ALONSO DE CONTRERAS;27/09/1990;;V
963;1;CALLE;DE;MANUEL AZAÑA;MANUEL AZAÑA;30/10/1990;;V
964;1;TRAVESÍA;DE;TELLEZ;TÉLLEZ;30/10/1990;;V
965;1;PLAZA;DE LA;VIRGEN DE LA PALOMA;VIRGEN DE LA PALOMA;30/11/1990;;V
965;2;PLAZA;DE;CANDIDO LARA;CÁNDIDO LARA;01/01/1934;30/11/1990;V
966;1;CALLE;DE;ISABEL TINTERO;ISABEL TINTERO;30/11/1990;;V
967;1;CALLE;DE;GARGANTA DE LOS MONTES;GARGANTA DE LOS MONTES;30/11/1990;;V
968;2;CALLE;DEL;ARO;ARO;30/11/1990;;V
968;1;CALLE;DE;ALFAMBRA;ALFAMBRA;01/01/1986;30/11/1990;V
969;2;CALLE;DE;ADONIS;ADONIS;30/11/1990;;V
